"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","commericial-analysis","0","Maximum Demand report","1","0","Maximum Demand — first and last page have no duplicate meters › MD > CD Last Three Month — first and last page have no duplicate meters","0"
"1","meter-replacement","0","Bulk Validate Meter Replacement API","0","0","Validate POST /indore/meter-replacement/bulk/validate — single valid row reports valid:true","0"
"0","overall-dashboard","0","Home dashboard screens — cannot open without a valid login","1","0","Connect and disconnect by month — cannot open with an invalid login token","0"
"0","technical-analysis","0","Technical report","0","1","Technical report — first and last page have no duplicate meters › Current Bypass report — first and last page have no duplicate meters","0"
"0","reports","0","DTR billing report","1","0","DTR billing — invalid fromDate is rejected","0"
"0","mis-dashboard","0","Other events","1","0","Other events — an invalid time range is rejected","0"
"0","dashboard","0","Dashboard — DTR power on/off list","1","0","Saved example — DTRs that are ON with rows (total 1134)","0"
"0","mis-dashboard","0","Events that did not roll over","1","0","Events that did not roll over — an invalid grouping is rejected","0"
"0","utils-lookup","0","indoore_backend_testing","1","0","UTILS-LOOKUP › utils › lookup-catalog.harness.ts › Organisation hierarchy › Organisation hierarchy — live tree","0"
"0","hes-commands","0","HES Commands — Meter Location","1","0","Validate POST /commands/meter-location — set location for known node","0"
"0","revenue-protection","0","Revenue Protection — Aberration Entry Auth Negative","1","0","IND-REV-ABE-ENTRY-AUTH-001 — Request without Authorization header","0"
"0","consumers","0","Live voltage and current","1","0","Live voltage and current — opens using the account number","0"
"0","mis-dashboard","0","Talking meters by category","1","0","Talking meters by category — consumers is treated as consumer meters","0"
"0","dashboard","0","Dashboard — DTR power on/off","1","0","Saved example — weekly null on/off buckets (10 Jul 2026)","0"
"0","mis-dashboard","0","Talking meters by category","1","0","Talking meters by category — from-date and to-date still work","0"
"0","mis-dashboard","0","How many meters we have","1","0","How many meters we have — both is treated as all meters","0"
"0","overall-dashboard","0","Mapped vs unmapped meters","1","0","Mapped vs unmapped meters — leftover extra filters are blocked","0"
"0","consumers","0","Energy flow chart","1","0","Energy flow chart — monthly view","0"
"0","hes-commands","1","HES Commands — Metering Mode (E2E)","0","0","Validate POST /commands/metering-mode → query-meter-job — metering_mode_get E2E","0"
"0","commericial-analysis","0","Commercial Analysis — extra report checks","1","0","Maximum Demand — MD > CD Last Three Month: report opens and demand follows the rule","0"
"0","dtrs","0","DTR events","1","0","Sample events — none yet is allowed","0"
"1","meter-replacement","0","Bulk Validate Meter Replacement API","0","0","Validate POST /indore/meter-replacement/bulk/validate — meter readings must be non-negative","0"
"0","feeder","0","Feeder screens — cannot open without a valid login","1","0","Feeder daily energy — cannot open without logging in","0"
"0","dashboard","0","Dashboard — DTR load unbalance list","1","0","Saved example — severe empty page (Aug 2026)","0"
"0","feeder","0","Feeder screens — cannot open without a valid login","1","0","Feeder voltage and current — cannot open with an empty login token","0"
"0","utils-lookup","0","indoore_backend_testing","1","0","UTILS-LOOKUP › utils › lookup-catalog.harness.ts › Network search › Network search — default limit returns records","0"
"0","mis-dashboard","0","How many meters we have","1","0","How many meters we have — all meters","0"
"0","mis-dashboard","0","Urgency today versus yesterday","1","0","Urgency today versus yesterday — organisation 0 is rejected","0"
"0","dashboard","0","Dashboard — DTR voltage unbalance list","1","0","DTR voltage unbalance list — page 2 still shows a valid list","0"
"0","mis-dashboard","0","Power problems","1","0","Power problems — by meter type, hour by hour, all meters","0"
"0","consumers","0","Energy flow chart","1","0","Energy flow chart — invalid time range is rejected","0"
"0","consumers","0","Live voltage and current","1","0","Live voltage and current — sample: no live reading yet","0"
"0","consumers","0","Can this meter be given to a consumer?","1","0","Can this meter be given to a consumer? — spaces-only serial is rejected","0"
"0","mis-dashboard","0","How many meters we have","1","0","How many meters we have — missing start date still opens","0"
"0","reports","0","Reports — contract snapshots","1","0","Event restoration — column and field names stay the same","0"
"0","mis-dashboard","0","Urgency today versus yesterday","1","0","Urgency today versus yesterday — consumer meters only","0"
"0","dashboard","0","Dashboard — DTR communication","1","0","DTR communication chart — an invalid time period is rejected","0"
"0","mis-dashboard","0","Urgency level events","1","0","Urgency level 3 events — consumer and DTR stay within all meters","0"
"0","dtrs","0","DTR energy over time","1","0","DTR energy over time — DAILY in capital letters still works or is rejected","0"
"0","mis-dashboard","0","Event summary","1","0","Event summary — an invalid time range is rejected","0"
"0","commericial-analysis","0","Commercial Analysis — extra report checks","1","0","Power Factor Violation — page 2 still shows a valid meter list","0"
"0","reports","0","Event detail report","1","0","Event detail — a page past the last page shows no records","0"
"0","consumption","0","Consumption API — Negative","1","0","Daily consumption — a badly formatted start date is rejected","0"
"0","reports","0","Consumer report","1","0","Consumer report DP — first page shows columns and daily readings","0"
"0","master-data","0","Master data — change history","1","0","Master data change history — an action that is not from master data is rejected","0"
"0","dashboard","0","Dashboard — DTR consumption","1","0","Saved example — populated kWh/kVAh/kVArh points","0"
"0","mis-dashboard","0","Events that did not roll over","1","0","Events that did not roll over — by consumer category, day by day, consumer meters only","0"
"0","dtr-load","0","Transformer load reports","1","0","Transformer load — asking for zero rows per page is rejected","0"
"0","feeder","0","Feeder — mistakes that should be blocked","1","0","Feeder profile — a feeder that does not exist is not shown","0"
"0","dashboard","0","Dashboard — response shape","1","0","Consumers by meter make — response shape stays the same","0"
"0","mis-dashboard","0","Urgency level events","1","0","Urgency level 3 events — month by month, DTR meters only","0"
"0","consumers","0","Consumption chart","1","0","Consumption chart — sample: weekly usage","0"
"0","dashboard","0","Dashboard — consumers by connection status","1","0","Saved example — connected empty page (offline)","0"
"0","consumers","0","Billing history","1","0","Billing history — unknown consumer is empty or not found","0"
"0","commericial-analysis","0","Commercial Analysis — extra report checks","1","0","Consumption Compare — Consumption Compare Same Month Last Year: billing data is not ready yet","0"
"0","master-data","0","Master data — meter list","1","0","Meter list — first page shows columns, records, and page numbers","0"
"0","utils-lookup","0","indoore_backend_testing","1","0","UTILS-LOOKUP › utils › lookup-catalog.harness.ts › Meter phases › meter phases — ids and names are unique","0"
"0","master-data","0","Master data — feeder list","1","0","Feeder list — page 2 shows the next set of records","0"
"0","consumption","0","Consumption API — Edge","1","0","Monthly net meter — a page far past the end of the list is empty","0"
"0","mis-dashboard","0","Power problems","1","0","Power problems — by consumer category, hour by hour, consumer meters only","0"
"0","mis-dashboard","0","Other events","1","0","Other events — an invalid grouping is rejected","0"
"0","dashboard","0","Dashboard — consumers by meter make","1","0","Consumers by meter make — Linkwell meters","0"
"0","reports","0","Consumer report","1","0","Consumer report — empty page fixture","0"
"0","dashboard","0","Dashboard — DTR loading list","1","0","Saved example — critically loaded DTRs empty page","0"
"0","reports","0","Event detail report","1","0","Event detail — limit 0 is rejected (limit must be at least 1)","0"
"0","mis-dashboard","0","Events that did not roll over","1","0","Events that did not roll over — by meter type, hour by hour, all meters","0"
"0","reports","0","Event restoration report","1","0","Event restoration — page 0 is rejected (page must start at 1)","0"
"0","consumers","0","Event summary","1","0","Event summary — sample: change vs yesterday is correct","0"
"0","overall-dashboard","0","Home dashboard — cannot open without a valid login","1","0","Home dashboard — cannot open with an empty login token","0"
"0","mis-dashboard","0","Urgency level events","1","0","Urgency level 2 events — week by week, DTR meters only","0"
"0","mis-dashboard","0","Power problems","1","0","Power problems — by meter type, month by month, consumer meters only","0"
"0","mis-dashboard","0","Urgency level 1 events (extra check)","0","1","Urgency level 1 events — day by day (extra check)","0"
"0","reports","0","Min-max voltage count","1","0","Min-max voltage count — page and limit do not change the total","0"
"0","mis-dashboard","0","Talking meters by category","1","0","Talking meters by category — unknown meter kind is treated as all","0"
"0","mis-dashboard","0","What kinds of events happened","1","0","What kinds of events happened — by meter type, consumers is treated as consumer meters","0"
"0","reports","0","Min-max voltage count","1","0","Min-max voltage count — Oct 2025 min R fixture","0"
"0","reports","0","Bill status report","1","0","Bill status — Oct 2025 fixture (summary with empty rows)","0"
"0","commericial-analysis","0","Commercial Analysis — invalid filters are rejected","1","0","Day and Night — page 0 is rejected (page must start at 1)","0"
"0","mis-dashboard","0","How many meters we have","1","0","How many meters we have — a negative organisation is rejected","0"
"0","mis-dashboard","0","Urgency level events","1","0","Urgency level 2 events — day by day, DTR meters only","0"
"0","mis-dashboard","0","How many meters we have","1","0","How many meters we have — one day only still opens","0"
"0","consumers","0","Can this meter be given to a consumer?","1","0","Can this meter be given to a consumer? — empty serial is rejected","0"
"0","dashboard","0","Consumers by category — cannot open without a valid login","1","0","cannot open with an invalid login token","0"
"0","mis-dashboard","0","How many events by urgency","1","0","How many events by urgency — extra unused options are ignored","0"
"0","master-data","0","Master data — DTR list","1","0","DTR list — an empty search shows the full list","0"
"0","meter-replacement","0","Meter Replacement Submission Detail API — Negative & Edge","1","0","Boundary integer submission ids do not 500","0"
"0","auth","0","Auth Sent Invitations List API","1","0","Validate sent invitations list — email search","0"
"0","reports","0","Communication consumers report","1","0","Communication consumers — invalid meter type is rejected","0"
"0","dtrs","0","DTR profile","1","0","Sample profile — capacity and map pin can be empty","0"
"0","revenue-protection","0","Revenue Protection — Aberrations Auth Negative","0","1","Aberrations rejects invalid bearer token","0"
"0","mis-dashboard","0","How many meters we have","1","0","How many meters we have — from_date and to_date still work","0"
"0","dashboard","0","Dashboard — DTR power on/off","1","0","DTR power on/off chart — an invalid time period is rejected","0"
"0","reports","0","Communication DTRs report","1","0","Communication DTRs — day first page shows columns and DTRs","0"
"0","reports","0","DTR billing report","1","0","DTR billing — 1–30 Oct 2025 first page (null total is valid)","0"
"0","mis-dashboard","0","Other events","1","0","Other events — by consumer category, hour by hour, DTR meters only","0"
"0","commericial-analysis","0","Power Factor Violation report","1","0","Power Factor Violation — non-household connections: number of meters on the page matches the total","0"
"0","utils-lookup","0","indoore_backend_testing","1","0","UTILS-LOOKUP › utils › lookup-catalog.harness.ts › DTR search › DTR search — showing 1 per page returns at most 1 record","0"
"0","revenue-protection","1","Revenue Protection — Cases Detail API","0","0","IND-RPT-003 — Validate pagination — page 2 (limit 5)","0"
"0","reports","0","DTR communication report","1","0","DTR communication — Oct 2025 fixture (includeTotal=false)","0"
"0","revenue-protection","0","Revenue Protection — Aberrations Negative","0","1","Negative page is rejected","0"
"0","mis-dashboard","0","What kinds of events happened","1","0","What kinds of events happened — by meter type, all meters","0"
"0","consumption","0","CONSUMPTION — Contract Snapshots","1","0","Pattern Consumption Comparison Contract Snapshot","0"
"0","utils-lookup","0","indoore_backend_testing","1","0","UTILS-LOOKUP › utils › lookup-catalog.harness.ts › Consumer search › Consumer search — showing 1 per page returns at most 1 record","0"
"0","mis-dashboard","0","Power problems","1","0","Power problems — by meter type, week by week, DTR meters only","0"
"0","mis-dashboard","0","Urgency level 3 events","0","1","Urgency level 3 events — hour by hour","0"
"0","commericial-analysis","0","Commercial Analysis — extra report checks","1","0","Consumption Pattern — showing 1 meter per page returns at most one meter","0"
"0","dtrs","0","DTR loading gauge","1","0","Sample loading gauge — percent of rated size","0"
"0","dashboard","0","DTR communication list — cannot open without a valid login","1","0","cannot open with an empty login token","0"
"0","utils-lookup","0","indoore_backend_testing","1","0","UTILS-LOOKUP › utils › lookup-catalog.harness.ts › Consumer search › Consumer search — first page shows columns and records","0"
"0","auth","0","Auth Devices API","0","1","DELETE /auth/devices/:id — unknown device returns 404","0"
"0","meter-replacement","0","Meter Replacement Submission History API - Filters and Edge","0","1","Valid date range returns success","0"
"0","dashboard","0","DTR loading list — cannot open without a valid login","1","0","cannot open with an empty login token","0"
"0","dashboard","0","Dashboard — overview numbers","1","0","Dashboard overview — extra unused filters are ignored","0"
"0","mis-dashboard","0","Current problems","1","0","Current problems — an invalid time range is rejected","0"
"0","modules-permissions","0","Module Permission — Negative","1","0","POST /permissions/modules — duplicate module key returns 409 or 400","0"
"0","dashboard","0","Dashboard — DTR loading list","1","0","Saved example — normally loaded DTRs with rows","0"
"0","utils-lookup","0","indoore_backend_testing","1","0","UTILS-LOOKUP › utils › lookup-catalog.harness.ts › Network hierarchy › Network hierarchy — live tree","0"
"0","reports","0","Reports — contract snapshots","1","0","Min-max voltage count — column and field names stay the same","0"
"0","feeder","0","Feeder screens — cannot open without a valid login","1","0","Feeder daily energy — cannot open with a badly formed login token","0"
"0","dashboard","0","Dashboard — DTR load unbalance list","1","0","Saved example — balanced empty page (Aug 2026)","0"
"0","reports","0","Min-max voltage report","1","0","Min-max voltage — empty page fixture","0"
"0","reports","0","Current without voltage report","1","0","Current without voltage — showing 1 per page returns at most 1 record","0"
"0","feeder","0","Feeder screens — cannot open without a valid login","1","0","Feeder profile — cannot open with an expired login token","0"
"0","mis-dashboard","0","Talking vs not talking overview","1","0","Talking vs not talking overview — from-date and to-date still work","0"
"0","billing","0","Monthly billing list","1","0","Monthly billing — asking for more than 5000 rows per page is rejected","0"
"0","commericial-analysis","0","Load Factor report","1","0","LF < 5% — household and non-household lists are the same (connection type filter is not applied)","0"
"0","dtrs","0","DTR energy over time","1","0","Sample chart — days with energy, power factor, and reactive energy","0"
"0","consumers","0","Consumers — screen shape checks","1","0","Meter communication — screen shape is unchanged","0"
"0","consumers","0","Can this meter be given to a consumer?","1","0","Can this meter be given to a consumer? — extra unused options are ignored","0"
"0","mis-dashboard","0","Urgency level events","1","0","Urgency level 1 events — week by week, all meters","0"
"0","energy-audits","1","loss-analysis.harness.ts","0","0","Energy Audit Loss Analysis — DTR › Validate LS loss analysis","0"
"0","dtr-load","0","Transformer load reports","1","0","Transformer load — page numbering must start at 1","0"
"0","dashboard","0","Dashboard — consumers by meter make","1","0","Consumers by meter make — L&T meters","0"
"0","utils-lookup","0","indoore_backend_testing","1","0","UTILS-LOOKUP › utils › lookup-catalog.harness.ts › Consumer search › Consumer search — a non-numeric page is rejected","0"
"0","dtrs","0","DTR profile","1","0","Sample profile — capacity shown as kVA with a map pin","0"
"0","billing","0","Monthly billing list","1","0","Monthly billing — page numbering must start at 1","0"
"0","mis-dashboard","0","What kinds of events happened","1","0","What kinds of events happened — by consumer category, both is treated as all meters","0"
"0","mis-dashboard","0","Meter transaction events","1","0","Meter transaction events — by consumer category, week by week, consumer meters only","0"
"0","dashboard","0","Dashboard — consumers by category","1","0","Consumers by category — commercial connections","0"
"0","mis-dashboard","0","How meters are talking","1","0","How meters are talking — live=1 still opens","0"
"0","mis-dashboard","0","Urgency level events","1","0","Urgency level 6 events — consumers is treated as consumer meters","0"
"0","consumers","0","Consumption chart","1","0","Consumption chart — unknown meter is empty or not found","0"
"0","asset-management","0","Asset Management — Negative","1","0","GET /asset-management/dtr/:id — invalid id zero returns 400 or 404","0"
"0","dashboard","0","Dashboard — DTR voltage unbalance list","1","0","Saved example — severe page with hierarchy row","0"
"0","dashboard","0","Dashboard — consumers by meter phase","1","0","Consumers by meter phase — three-phase whole-current meters","0"
"0","mis-dashboard","0","Urgency level 5 events","0","1","Urgency level 5 events — week by week","0"
"0","mis-dashboard","0","Voltage problems","1","0","Voltage problems — an invalid grouping is rejected","0"
"0","mis-dashboard","0","Event summary","1","0","Event summary — extra unused options are ignored","0"
"0","mis-dashboard","0","Urgency level events","1","0","Urgency level 5 events — dtrs is treated as DTR meters","0"
"0","mis-dashboard","0","Urgency level events","1","0","Urgency level 2 events — hour by hour, consumer meters only","0"
"0","reports","0","DTR event report","1","0","DTR event — empty page fixture","0"
"0","technical-analysis","0","Technical report","0","1","Technical report — first and last page have no duplicate meters › Power Failure report — first and last page have no duplicate meters","0"
"0","master-data","0","Master data — change history","1","0","Master data change history — an invalid page number is rejected","0"
"0","mis-dashboard","0","Power problems","1","0","Power problems — by consumer category, week by week, consumer meters only","0"
"0","dashboard","0","Dashboard — DTR consumption","1","0","Saved example — yearly null energy buckets (10 Jul 2026)","0"
"0","mis-dashboard","0","Event summary","1","0","Event summary — by meter type, day by day, all meters","0"
"0","technical-analysis","0","Technical summary","1","0","Technical summary — missing month is rejected","0"
"0","commericial-analysis","0","Commercial dashboard — report cards","1","0","Commercial dashboard — all report cards load for the selected month","0"
"0","consumption","0","Consumption API — Edge","1","0","Last three months — asking for one consumer at a time still returns a row","0"
"0","consumption","0","Consumption API — Auth Negative","1","0","Monthly net meter rejects missing auth","0"
"0","commericial-analysis","0","Commercial Analysis — meter details vs database","0","1","Dashboard totals match the detailed reports and the billing database","0"
"0","mis-dashboard","0","Urgency level events","1","0","Urgency level 6 events — a blank time range is rejected","0"
"0","reports","0","Min-max voltage report","1","0","Min-max voltage — Oct 2025 min R first page shows columns and meters","0"
"0","dashboard","0","Dashboard — overview numbers","1","0","Dashboard overview — counts and cards load","0"
"0","reports","0","Billing MD snapshot report","1","0","Billing MD snapshot — sparse hierarchy fixture","0"
"0","overall-dashboard","0","Home dashboard screens — cannot open without a valid login","1","0","Mapped vs unmapped meters — cannot open with a badly formed login token","0"
"0","mis-dashboard","0","Urgency level events","1","0","Urgency level 5 events — week by week, DTR meters only","0"
"0","mis-dashboard","0","Events that did not roll over","1","0","Events that did not roll over — dtrs is treated as DTR meters","0"
"1","meter-replacement","0","Bulk Validate Meter Replacement API","0","0","Validate POST /indore/meter-replacement/bulk/validate — new meter reading must be numeric","0"
"0","consumers","0","Can this meter be given to a consumer?","1","0","Can this meter be given to a consumer? — checking the same serial twice gives the same answer","0"
"0","mis-dashboard","0","Urgency level events","1","0","Urgency level 5 events — day by day, all meters","0"
"0","mis-dashboard","0","What kinds of events happened","1","0","What kinds of events happened — by consumer category, all meters","0"
"0","reports","0","DTR event report","1","0","DTR event — 1–30 Oct 2025 fixture","0"
"0","mis-dashboard","0","Meter transaction events","1","0","Meter transaction events — by meter type, hour by hour, DTR meters only","0"
"0","master-data","0","Master data — DTR list","1","0","DTR list — page 2 shows the next set of records","0"
"0","mis-dashboard","0","Urgency level events","1","0","Urgency level 5 events — both is treated as all meters","0"
"0","reports","0","Event detail report","1","0","Event detail — page 0 is rejected (page must start at 1)","0"
"0","hes-commands","0","HES Commands — Demand Config (E2E)","1","0","Validate POST /commands/demand-config — invalid type returns validation error","0"
"0","dashboard","0","DTR voltage unbalance list — cannot open without a valid login","1","0","cannot open without logging in","0"
