"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2260","Disallowed HTTP methods are rejected","meter-replacement","2026-09-15","passed","2026-09-15","Disallowed HTTP methods are rejected","Meter Replacement Submission Detail API — Auth Negative","submission-detail-negative",""
"","280","DTR list — column names in the response stay the same","master-data","2026-09-15","passed","2026-09-15","DTR list — column names in the response stay the same","Master data — column names in the response","master-data.contract",""
"","1778","Can this meter be given to a consumer? — office filter is optional","consumers","2026-09-15","passed","2026-09-15","Can this meter be given to a consumer? — office filter is optional","Can this meter be given to a consumer?","validatemeter",""
"","256","Event summary — by meter type, week by week, consumer meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Event summary — by meter type, week by week, consumer meters only","Event summary","eventdata",""
"","1915","cannot open with an invalid login token","dashboard","2026-09-15","passed","2026-09-15","cannot open with an invalid login token","Dashboard overview — cannot open without a valid login","dashboardmetrics",""
"","7","IND-RPT-DB-003 — Circle/division/zone exist in org master","revenue-protection","2026-09-15","skipped","2026-09-15","IND-RPT-DB-003 — Circle/division/zone exist in org master","Revenue Protection — Cases DB cross-validation","cases.db",""
"","237","Daily consumption — start date after end date is rejected","consumption","2026-09-15","passed","2026-09-15","Daily consumption — start date after end date is rejected","Consumption API — Negative","consumption-negative",""
"","88","Sample chart — days with no energy yet","dtrs","2026-09-15","passed","2026-09-15","Sample chart — days with no energy yet","DTR energy over time","dtrdailythresholdchart",""
"","1794","Consumer search — limit 0 is rejected","utils-lookup","2026-09-15","passed","2026-09-15","UTILS-LOOKUP › utils › lookup-catalog.harness.ts › Consumer search › Consumer search — limit 0 is rejected","indoore_backend_testing","modules/UTILS-LOOKUP/tests/consumersearch",""
"","1385","Event detail — invalid fromDate is rejected","reports","2026-09-15","passed","2026-09-15","Event detail — invalid fromDate is rejected","Event detail report","eventdetail",""
"","49","IND-MR-DB-001 — Dashboard / consumer / meter / history / submission vs DB","meter-replacement","2026-09-15","skipped","2026-09-15","IND-MR-DB-001 — Dashboard / consumer / meter / history / submission vs DB","METER-REPLACEMENT — DB Coverage","meter-replacement.db",""
"","2228","Night-time consumption — first page lists each consumer (night/day use may be empty)","consumption","2026-09-15","passed","2026-09-15","Night-time consumption — first page lists each consumer (night/day use may be empty)","Night-time consumption list","nightzeroconsumption",""
"","487","Voltage problems — extra unused options are ignored","mis-dashboard","2026-09-15","passed","2026-09-15","Voltage problems — extra unused options are ignored","Voltage problems","eventdatavoltage",""
"","1890","Event summary — opens using the meter","consumers","2026-09-15","passed","2026-09-15","Event summary — opens using the meter","Event summary","eventlogcards",""
"","4","Technical report — missing analysis type is rejected","technical-analysis","2026-09-15","skipped","2026-09-15","Technical report — missing analysis type is rejected","Technical report","technicalanalysis",""
"","21","Saved example — meters that are communicating with hierarchy row","dashboard","2026-09-15","passed","2026-09-15","Saved example — meters that are communicating with hierarchy row","Dashboard — DTR communication list","dtrcommunicationdetails",""
"","2749","Meter communication — page 2 shows the next set of records","master-data","2026-09-15","passed","2026-09-15","Meter communication — page 2 shows the next set of records","Master data — meter communication","meter-communication-status",""
"","1087","Meter transaction events — an invalid time range is rejected","mis-dashboard","2026-09-15","passed","2026-09-15","Meter transaction events — an invalid time range is rejected","Meter transaction events","eventdatatransaction",""
"","1092","Daily talking chart — no dates uses today","mis-dashboard","2026-09-15","passed","2026-09-15","Daily talking chart — no dates uses today","Daily talking chart","communication-trend",""
"","70","Communication DTRs — Oct 2025 month fixture","reports","2026-09-15","passed","2026-09-15","Communication DTRs — Oct 2025 month fixture","Communication DTRs report","communicationdtrs",""
"","1","IND-AUD-DB-001 — list total ≤ DB + row spot by id","audit-logs","2026-09-15","skipped","2026-09-15","IND-AUD-DB-001 — list total ≤ DB + row spot by id","AUDIT-LOGS — DB Coverage","audit-logs.db",""
"","239","Feeder daily energy — month-by-month kWh (an empty chart is still OK)","feeder","2026-09-15","passed","2026-09-15","Feeder daily energy — month-by-month kWh (an empty chart is still OK)","Feeder — unusual cases","feeder-edge",""
"","2697","events — ids and names are unique","utils-lookup","2026-09-15","passed","2026-09-15","UTILS-LOOKUP › utils › lookup-catalog.harness.ts › Events › events — ids and names are unique","indoore_backend_testing","modules/UTILS-LOOKUP/tests/event",""
"","34","Live load — sample: three-phase load","consumers","2026-09-15","passed","2026-09-15","Live load — sample: three-phase load","Live load","liveloadprofile",""
"","1817","Day-by-day billing — leaving out the month is rejected","billing","2026-09-15","passed","2026-09-15","Day-by-day billing — leaving out the month is rejected","Day-by-day billing list","daywisebilling",""
"","882","cannot open with an empty login token","dashboard","2026-09-15","passed","2026-09-15","cannot open with an empty login token","DTR load unbalance list — cannot open without a valid login","dtrloadunbalancedetails",""
"","1786","Urgency level 6 events — month by month, all meters","mis-dashboard","2026-09-15","passed","2026-09-15","Urgency level 6 events — month by month, all meters","Urgency level events","eventpriority",""
"","842","Urgency level 6 events — day by day, consumer meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Urgency level 6 events — day by day, consumer meters only","Urgency level events","eventpriority",""
"","8281","Consumption Pattern — Zero Consumption for Last 9 months (household): billing data is not ready yet","commericial-analysis","2026-09-15","passed","2026-09-15","Consumption Pattern — Zero Consumption for Last 9 months (household): billing data is not ready yet","Consumption Pattern report","consumptionpattern",""
"","9","dedupeMeterSerials removes duplicates and blanks","other","2026-09-15","passed","2026-09-15","core › __tests__ › dedupe-serials.util › dedupeMeterSerials removes duplicates and blanks","indoore_backend_testing","dedupe-serials.util",""
"","913","Can this meter be given to a consumer? — meter already on another consumer is rejected","consumers","2026-09-15","passed","2026-09-15","Can this meter be given to a consumer? — meter already on another consumer is rejected","Can this meter be given to a consumer?","validatemeter",""
"","1578","DTR loading list — page 2 still shows a valid list","dashboard","2026-09-15","passed","2026-09-15","DTR loading list — page 2 still shows a valid list","Dashboard — DTR loading list","dtrpercentageloadingdetails",""
"","6486","MD > CD Last Three Month — first and last page have no duplicate meters","commericial-analysis","2026-09-15","passed","2026-09-15","Maximum Demand — first and last page have no duplicate meters › MD > CD Last Three Month — first and last page have no duplicate meters","Maximum Demand report","mdanalysis",""
"","241208","Validate POST /indore/meter-replacement/bulk/validate — single valid row reports valid:true","meter-replacement","2026-09-15","broken","2026-09-15","Validate POST /indore/meter-replacement/bulk/validate — single valid row reports valid:true","Bulk Validate Meter Replacement API","bulk-validation",""
"","879","Connect and disconnect by month — cannot open with an invalid login token","overall-dashboard","2026-09-15","passed","2026-09-15","Connect and disconnect by month — cannot open with an invalid login token","Home dashboard screens — cannot open without a valid login","overall-dashboard-auth",""
"","18","Current Bypass report — first and last page have no duplicate meters","technical-analysis","2026-09-15","skipped","2026-09-15","Technical report — first and last page have no duplicate meters › Current Bypass report — first and last page have no duplicate meters","Technical report","technicalanalysis",""
"","1892","DTR billing — invalid fromDate is rejected","reports","2026-09-15","passed","2026-09-15","DTR billing — invalid fromDate is rejected","DTR billing report","dtrbilling",""
"","918","Other events — an invalid time range is rejected","mis-dashboard","2026-09-15","passed","2026-09-15","Other events — an invalid time range is rejected","Other events","eventdataother",""
"","25","Saved example — DTRs that are ON with rows (total 1134)","dashboard","2026-09-15","passed","2026-09-15","Saved example — DTRs that are ON with rows (total 1134)","Dashboard — DTR power on/off list","dtrpowerstatusdetails",""
"","238","Events that did not roll over — an invalid grouping is rejected","mis-dashboard","2026-09-15","passed","2026-09-15","Events that did not roll over — an invalid grouping is rejected","Events that did not roll over","eventdatanonrollover",""
"","999","Organisation hierarchy — live tree","utils-lookup","2026-09-15","passed","2026-09-15","UTILS-LOOKUP › utils › lookup-catalog.harness.ts › Organisation hierarchy › Organisation hierarchy — live tree","indoore_backend_testing","modules/UTILS-LOOKUP/tests/organizationhierarchy",""
"","14780","Validate POST /commands/meter-location — set location for known node","hes-commands","2026-09-15","passed","2026-09-15","Validate POST /commands/meter-location — set location for known node","HES Commands — Meter Location","commands-meter-location",""
"","833","IND-REV-ABE-ENTRY-AUTH-001 — Request without Authorization header","revenue-protection","2026-09-15","passed","2026-09-15","IND-REV-ABE-ENTRY-AUTH-001 — Request without Authorization header","Revenue Protection — Aberration Entry Auth Negative","aberration-entry.auth",""
"","905","Live voltage and current — opens using the account number","consumers","2026-09-15","passed","2026-09-15","Live voltage and current — opens using the account number","Live voltage and current","realtimepower",""
"","272","Talking meters by category — consumers is treated as consumer meters","mis-dashboard","2026-09-15","passed","2026-09-15","Talking meters by category — consumers is treated as consumer meters","Talking meters by category","communication-category",""
"","37","Saved example — weekly null on/off buckets (10 Jul 2026)","dashboard","2026-09-15","passed","2026-09-15","Saved example — weekly null on/off buckets (10 Jul 2026)","Dashboard — DTR power on/off","dtrpowerstatus",""
"","265","Talking meters by category — from-date and to-date still work","mis-dashboard","2026-09-15","passed","2026-09-15","Talking meters by category — from-date and to-date still work","Talking meters by category","communication-category",""
"","256","How many meters we have — both is treated as all meters","mis-dashboard","2026-09-15","passed","2026-09-15","How many meters we have — both is treated as all meters","How many meters we have","communicationstats",""
"","238","Mapped vs unmapped meters — leftover extra filters are blocked","overall-dashboard","2026-09-15","passed","2026-09-15","Mapped vs unmapped meters — leftover extra filters are blocked","Mapped vs unmapped meters","installationsummary",""
"","976","Energy flow chart — monthly view","consumers","2026-09-15","passed","2026-09-15","Energy flow chart — monthly view","Energy flow chart","energyflow",""
"","83002","Validate POST /commands/metering-mode → query-meter-job — metering_mode_get E2E","hes-commands","2026-09-15","failed","2026-09-15","Validate POST /commands/metering-mode → query-meter-job — metering_mode_get E2E","HES Commands — Metering Mode (E2E)","commands-metering-mode",""
"","7160","Maximum Demand — MD > CD Last Three Month: report opens and demand follows the rule","commericial-analysis","2026-09-15","passed","2026-09-15","Maximum Demand — MD > CD Last Three Month: report opens and demand follows the rule","Commercial Analysis — extra report checks","commercial-edge",""
"","9","Sample events — none yet is allowed","dtrs","2026-09-15","passed","2026-09-15","Sample events — none yet is allowed","DTR events","dtrevents",""
"","241203","Validate POST /indore/meter-replacement/bulk/validate — meter readings must be non-negative","meter-replacement","2026-09-15","broken","2026-09-15","Validate POST /indore/meter-replacement/bulk/validate — meter readings must be non-negative","Bulk Validate Meter Replacement API","bulk-validation",""
"","1810","Feeder daily energy — cannot open without logging in","feeder","2026-09-15","passed","2026-09-15","Feeder daily energy — cannot open without logging in","Feeder screens — cannot open without a valid login","feeder-auth",""
"","26","Saved example — severe empty page (Aug 2026)","dashboard","2026-09-15","passed","2026-09-15","Saved example — severe empty page (Aug 2026)","Dashboard — DTR load unbalance list","dtrloadunbalancedetails",""
"","1809","Feeder voltage and current — cannot open with an empty login token","feeder","2026-09-15","passed","2026-09-15","Feeder voltage and current — cannot open with an empty login token","Feeder screens — cannot open without a valid login","feeder-auth",""
"","980","Network search — default limit returns records","utils-lookup","2026-09-15","passed","2026-09-15","UTILS-LOOKUP › utils › lookup-catalog.harness.ts › Network search › Network search — default limit returns records","indoore_backend_testing","modules/UTILS-LOOKUP/tests/networksearch.api",""
"","40549","How many meters we have — all meters","mis-dashboard","2026-09-15","passed","2026-09-15","How many meters we have — all meters","How many meters we have","communicationstats",""
"","1104","Urgency today versus yesterday — organisation 0 is rejected","mis-dashboard","2026-09-15","passed","2026-09-15","Urgency today versus yesterday — organisation 0 is rejected","Urgency today versus yesterday","eventpriorityoverview",""
"","1759","DTR voltage unbalance list — page 2 still shows a valid list","dashboard","2026-09-15","passed","2026-09-15","DTR voltage unbalance list — page 2 still shows a valid list","Dashboard — DTR voltage unbalance list","dtrvoltageunbalancedetails",""
"","1427","Power problems — by meter type, hour by hour, all meters","mis-dashboard","2026-09-15","passed","2026-09-15","Power problems — by meter type, hour by hour, all meters","Power problems","eventdatapower",""
"","894","Energy flow chart — invalid time range is rejected","consumers","2026-09-15","passed","2026-09-15","Energy flow chart — invalid time range is rejected","Energy flow chart","energyflow",""
"","7","Live voltage and current — sample: no live reading yet","consumers","2026-09-15","passed","2026-09-15","Live voltage and current — sample: no live reading yet","Live voltage and current","realtimepower",""
"","1002","Can this meter be given to a consumer? — spaces-only serial is rejected","consumers","2026-09-15","passed","2026-09-15","Can this meter be given to a consumer? — spaces-only serial is rejected","Can this meter be given to a consumer?","validatemeter",""
"","248","How many meters we have — missing start date still opens","mis-dashboard","2026-09-15","passed","2026-09-15","How many meters we have — missing start date still opens","How many meters we have","communicationstats",""
"","986","Event restoration — column and field names stay the same","reports","2026-09-15","passed","2026-09-15","Event restoration — column and field names stay the same","Reports — contract snapshots","reports.contract",""
"","1147","Urgency today versus yesterday — consumer meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Urgency today versus yesterday — consumer meters only","Urgency today versus yesterday","eventpriorityoverview",""
"","1403","DTR communication chart — an invalid time period is rejected","dashboard","2026-09-15","passed","2026-09-15","DTR communication chart — an invalid time period is rejected","Dashboard — DTR communication","dtrcommunication",""
"","245","Urgency level 3 events — consumer and DTR stay within all meters","mis-dashboard","2026-09-15","passed","2026-09-15","Urgency level 3 events — consumer and DTR stay within all meters","Urgency level events","eventpriority",""
"","906","DTR energy over time — DAILY in capital letters still works or is rejected","dtrs","2026-09-15","passed","2026-09-15","DTR energy over time — DAILY in capital letters still works or is rejected","DTR energy over time","dtrdailythresholdchart",""
"","240","Event summary — an invalid time range is rejected","mis-dashboard","2026-09-15","passed","2026-09-15","Event summary — an invalid time range is rejected","Event summary","eventdata",""
"","2708","Power Factor Violation — page 2 still shows a valid meter list","commericial-analysis","2026-09-15","passed","2026-09-15","Power Factor Violation — page 2 still shows a valid meter list","Commercial Analysis — extra report checks","commercial-edge",""
"","2788","Event detail — a page past the last page shows no records","reports","2026-09-15","passed","2026-09-15","Event detail — a page past the last page shows no records","Event detail report","eventdetail",""
"","234","Daily consumption — a badly formatted start date is rejected","consumption","2026-09-15","passed","2026-09-15","Daily consumption — a badly formatted start date is rejected","Consumption API — Negative","consumption-negative",""
"","1892","Consumer report DP — first page shows columns and daily readings","reports","2026-09-15","passed","2026-09-15","Consumer report DP — first page shows columns and daily readings","Consumer report","consumerreport",""
"","1003","Master data change history — an action that is not from master data is rejected","master-data","2026-09-15","passed","2026-09-15","Master data change history — an action that is not from master data is rejected","Master data — change history","master-data-audit-logs",""
"","22","Saved example — populated kWh/kVAh/kVArh points","dashboard","2026-09-15","passed","2026-09-15","Saved example — populated kWh/kVAh/kVArh points","Dashboard — DTR consumption","dtrconsumption",""
"","1438","Events that did not roll over — by consumer category, day by day, consumer meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Events that did not roll over — by consumer category, day by day, consumer meters only","Events that did not roll over","eventdatanonrollover",""
"","1876","Transformer load — asking for zero rows per page is rejected","dtr-load","2026-09-15","passed","2026-09-15","Transformer load — asking for zero rows per page is rejected","Transformer load reports","dtrload",""
"","250","Feeder profile — a feeder that does not exist is not shown","feeder","2026-09-15","passed","2026-09-15","Feeder profile — a feeder that does not exist is not shown","Feeder — mistakes that should be blocked","feeder-negative",""
"","1713","Consumers by meter make — response shape stays the same","dashboard","2026-09-15","passed","2026-09-15","Consumers by meter make — response shape stays the same","Dashboard — response shape","dashboard.contract",""
"","345","Urgency level 3 events — month by month, DTR meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Urgency level 3 events — month by month, DTR meters only","Urgency level events","eventpriority",""
"","41","Consumption chart — sample: weekly usage","consumers","2026-09-15","passed","2026-09-15","Consumption chart — sample: weekly usage","Consumption chart","energyconsumptiongraph",""
"","17","Saved example — connected empty page (offline)","dashboard","2026-09-15","passed","2026-09-15","Saved example — connected empty page (offline)","Dashboard — consumers by connection status","consumerconnectionstatus",""
"","2078","Billing history — unknown consumer is empty or not found","consumers","2026-09-15","passed","2026-09-15","Billing history — unknown consumer is empty or not found","Billing history","billinghistory",""
"","7875","Consumption Compare — Consumption Compare Same Month Last Year: billing data is not ready yet","commericial-analysis","2026-09-15","passed","2026-09-15","Consumption Compare — Consumption Compare Same Month Last Year: billing data is not ready yet","Commercial Analysis — extra report checks","commercial-edge",""
